"estimate" "lcl" "ucl"
"D" 11.4698470292312 8.24706193779809 15.9520313859906
"estimate" "lcl" "ucl"
"D" 12.4412191774639 8.91023978243164 17.3714668068622
"estimate" "lcl" "ucl"
"D" 12.696986296499 9.12036421731147 17.6762086658209
"estimate" "lcl" "ucl"
"D" 12.5173498188054 9.05333470831853 17.3067771748657
"estimate" "lcl" "ucl"
"D" 12.2135811841887 8.79080194996491 16.9690508547247
"estimate" "lcl" "ucl"
"D" 11.4510226411543 8.25538468670389 15.8836837415244
"estimate" "lcl" "ucl"
"D" 11.5466010611505 8.25027547836602 16.1599447697189
