"estimate" "lcl" "ucl"
"D" 11.5263427564275 8.24021492032396 16.1229505083619
"estimate" "lcl" "ucl"
"D" 12.3687240513869 8.95235231985268 17.0888420376506
"estimate" "lcl" "ucl"
"D" 12.6875068684359 9.11481287975006 17.6605743486225
