"estimate" "lcl" "ucl"
"D" 11.5351909149678 8.29487576166008 16.0413046883447
"estimate" "lcl" "ucl"
"D" 12.5825214903286 9.00873554571282 17.5740364728459
"estimate" "lcl" "ucl"
"D" 12.777225313989 9.17430250471129 17.7950843282749
"estimate" "lcl" "ucl"
"D" 12.359882296475 8.89325693004602 17.1778114119914
"estimate" "lcl" "ucl"
"D" 12.5647006662733 9.08600114473431 17.3752677683231
"estimate" "lcl" "ucl"
"D" 11.4596910869704 8.26582444442439 15.8876492831121
"estimate" "lcl" "ucl"
"D" 11.5820543624412 8.27714051250433 16.2065610764842
