"estimate" "lcl" "ucl"
"D" 12.5564447933985 8.85441899456308 17.8062847428472
"estimate" "lcl" "ucl"
"D" 13.0043272222785 9.32608936963084 18.1332732082523
"estimate" "lcl" "ucl"
"D" 13.3462287831194 9.51574701431741 18.7186379023489
