"estimate" "lcl" "ucl"
"D" 11.9984535310353 8.55187134110005 16.8340800971282
"estimate" "lcl" "ucl"
"D" 13.1927533335728 9.36579675462773 18.5834419729957
"estimate" "lcl" "ucl"
"D" 13.0539125406564 9.36509141233974 18.1957254997614
"estimate" "lcl" "ucl"
"D" 12.8033536644709 9.13540882657591 17.9440097503511
"estimate" "lcl" "ucl"
"D" 13.8870998209576 9.8638741153043 19.5512979163047
"estimate" "lcl" "ucl"
"D" 11.8028750377691 8.42991124140723 16.5254241910546
"estimate" "lcl" "ucl"
"D" 12.335635386311 8.71260592725938 17.4652568536258
