"BearMR","0056",4,81,"F"
"BearMR","0056",3,92,"F"
"BearMR","0056",4,93,"F"
"BearMR","0056",2,96,"F"
"BearMR","0056",6,102,"F"
"BearMR","0056",4,103,"F"
"BearMR","0056",5,103,"F"
"BearMR","0056",3,104,"F"
"BearMR","0056",4,104,"F"
"BearMR","0056",5,104,"F"
"BearMR","0056",6,104,"F"
"BearMR","0056",4,113,"F"
"BearMR","0056",5,113,"F"
"BearMR","0056",4,114,"F"
"BearMR","0056",6,114,"F"
"BearMR","0056",1,120,"F"
"BearMR","0056",4,120,"F"
"BearMR","0056",5,120,"F"
"BearMR","10-86-01",3,50,"M"
"BearMR","10-86-01",4,50,"M"
"BearMR","10-86-01",1,62,"M"
"BearMR","10-86-01",2,62,"M"
"BearMR","10-86-01",4,62,"M"
"BearMR","10-86-01",5,62,"M"
"BearMR","10-86-01",2,72,"M"
"BearMR","10-86-01",3,73,"M"
"BearMR","10-86-01",4,73,"M"
"BearMR","10-86-01",5,73,"M"
"BearMR","10-86-01",2,74,"M"
"BearMR","10-86-01",3,74,"M"
"BearMR","10-86-01",1,75,"M"
"BearMR","10-86-01",3,75,"M"
"BearMR","10-86-01",6,83,"M"
"BearMR","10-86-01",6,84,"M"
"BearMR","10-86-01",3,85,"M"
"BearMR","10-86-01",4,85,"M"
"BearMR","10-86-01",5,85,"M"
"BearMR","10-86-01",1,86,"M"
"BearMR","10-86-01",2,86,"M"
"BearMR","10-86-01",4,86,"M"
"BearMR","10-86-01",2,87,"M"
"BearMR","10-86-01",4,106,"M"
"BearMR","10-86-01",5,107,"M"
"BearMR","10-86-01",5,117,"M"
"BearMR","12-106-02",4,1,"M"
"BearMR","12-106-02",5,1,"M"
"BearMR","12-106-02",3,2,"M"
"BearMR","12-106-02",5,2,"M"
"BearMR","12-106-02",3,4,"M"
"BearMR","12-106-02",4,4,"M"
"BearMR","12-106-02",5,4,"M"
"BearMR","12-106-02",6,4,"M"
"BearMR","12-106-02",3,5,"M"
"BearMR","12-106-02",4,5,"M"
"BearMR","12-106-02",5,5,"M"
"BearMR","12-106-02",6,5,"M"
"BearMR","12-106-02",5,10,"M"
"BearMR","12-106-02",5,11,"M"
"BearMR","12-106-02",6,11,"M"
"BearMR","12-106-02",1,16,"M"
"BearMR","12-106-02",5,16,"M"
"BearMR","12-106-02",6,21,"M"
"BearMR","12-106-02",6,22,"M"
"BearMR","12-106-02",2,36,"M"
"BearMR","12-106-02",3,36,"M"
"BearMR","12-106-02",2,59,"M"
"BearMR","12-106-02",6,59,"M"
"BearMR","12-106-02",3,62,"M"
"BearMR","12-106-02",5,62,"M"
"BearMR","12-106-02",6,62,"M"
"BearMR","12-106-02",2,75,"M"
"BearMR","12-106-02",3,75,"M"
"BearMR","12-106-02",4,75,"M"
"BearMR","12-106-02",5,75,"M"
"BearMR","12-106-02",6,75,"M"
"BearMR","12-106-02",3,86,"M"
"BearMR","12-106-02",5,86,"M"
"BearMR","12-106-02",1,87,"M"
"BearMR","12-106-02",2,87,"M"
"BearMR","12-106-02",4,87,"M"
"BearMR","12-106-02",5,96,"M"
"BearMR","12-106-02",6,96,"M"
"BearMR","12-106-02",2,98,"M"
"BearMR","12-106-02",5,98,"M"
"BearMR","12-106-02",2,99,"M"
"BearMR","12-106-02",2,106,"M"
"BearMR","12-106-02",5,106,"M"
"BearMR","120-4-2",4,120,"M"
"BearMR","121-22-04",3,22,"F"
"BearMR","121-22-04",6,23,"F"
"BearMR","121-22-04",4,45,"F"
"BearMR","13-27-05",3,4,"F"
"BearMR","13-27-05",2,5,"F"
"BearMR","13-27-05",2,9,"F"
"BearMR","13-27-05",2,10,"F"
"BearMR","13-27-05",3,10,"F"
"BearMR","13-27-05",4,10,"F"
"BearMR","13-27-05",6,10,"F"
"BearMR","13-27-05",3,11,"F"
"BearMR","13-27-05",5,11,"F"
"BearMR","13-27-05",2,13,"F"
"BearMR","13-27-05",2,15,"F"
"BearMR","13-27-05",3,15,"F"
"BearMR","13-27-05",5,15,"F"
"BearMR","13-27-05",2,16,"F"
"BearMR","13-27-05",3,16,"F"
"BearMR","13-27-05",4,16,"F"
"BearMR","13-27-05",3,17,"F"
"BearMR","13-27-05",6,17,"F"
"BearMR","13-27-05",3,18,"F"
"BearMR","13-27-05",4,18,"F"
"BearMR","13-27-05",1,27,"F"
"BearMR","13-27-05",3,27,"F"
"BearMR","13-27-05",4,27,"F"
"BearMR","13-27-05",6,27,"F"
"BearMR","13-27-05",3,28,"F"
"BearMR","13-27-05",4,28,"F"
"BearMR","13-27-05",5,28,"F"
"BearMR","13-27-05",6,28,"F"
"BearMR","13-27-05",4,38,"F"
"BearMR","13-27-05",6,38,"F"
"BearMR","13-27-05",5,39,"F"
"BearMR","13-27-05",6,39,"F"
"BearMR","13-27-05",5,49,"F"
"BearMR","13-27-05",6,86,"F"
"BearMR","13-27-05",6,99,"F"
"BearMR","131-103-04",5,92,"M"
"BearMR","131-103-04",3,103,"M"
"BearMR","131-103-04",5,103,"M"
"BearMR","131-103-04",5,114,"M"
"BearMR","133-116-01",4,102,"M"
"BearMR","133-116-01",5,102,"M"
"BearMR","133-116-01",4,106,"M"
"BearMR","133-116-01",3,116,"M"
"BearMR","135-108-03",3,108,"F"
"BearMR","17-2-02",1,8,"M"
"BearMR","17-2-02",5,21,"M"
"BearMR","17-2-02",4,22,"M"
"BearMR","17-2-02",5,22,"M"
"BearMR","17-2-02",4,23,"M"
"BearMR","17-2-02",5,23,"M"
"BearMR","17-2-02",4,32,"M"
