"BearMR","0056",4,81,"F"
"BearMR","0056",6,102,"F"
"BearMR","0056",4,103,"F"
"BearMR","0056",5,103,"F"
"BearMR","0056",3,104,"F"
"BearMR","0056",5,104,"F"
"BearMR","0056",6,104,"F"
"BearMR","0056",4,113,"F"
"BearMR","0056",5,113,"F"
"BearMR","0056",4,114,"F"
"BearMR","0056",5,120,"F"
"BearMR","10-86-01",1,62,"M"
"BearMR","10-86-01",3,62,"M"
"BearMR","10-86-01",5,62,"M"
"BearMR","10-86-01",3,73,"M"
"BearMR","10-86-01",4,73,"M"
"BearMR","10-86-01",5,73,"M"
"BearMR","10-86-01",2,74,"M"
"BearMR","10-86-01",3,74,"M"
"BearMR","10-86-01",6,83,"M"
"BearMR","10-86-01",6,84,"M"
"BearMR","10-86-01",4,85,"M"
"BearMR","10-86-01",5,85,"M"
"BearMR","10-86-01",6,85,"M"
"BearMR","10-86-01",1,86,"M"
"BearMR","10-86-01",2,86,"M"
"BearMR","10-86-01",3,86,"M"
"BearMR","10-86-01",2,87,"M"
"BearMR","10-86-01",5,107,"M"
"BearMR","10-86-01",5,117,"M"
"BearMR","12-106-02",5,1,"M"
"BearMR","12-106-02",1,2,"M"
"BearMR","12-106-02",3,2,"M"
"BearMR","12-106-02",4,3,"M"
"BearMR","12-106-02",5,4,"M"
"BearMR","12-106-02",6,4,"M"
"BearMR","12-106-02",3,5,"M"
"BearMR","12-106-02",5,5,"M"
"BearMR","12-106-02",5,10,"M"
"BearMR","12-106-02",5,11,"M"
"BearMR","12-106-02",1,16,"M"
"BearMR","12-106-02",5,16,"M"
"BearMR","12-106-02",6,22,"M"
"BearMR","12-106-02",4,27,"M"
"BearMR","12-106-02",2,59,"M"
"BearMR","12-106-02",6,59,"M"
"BearMR","12-106-02",4,62,"M"
"BearMR","12-106-02",5,75,"M"
"BearMR","12-106-02",6,75,"M"
"BearMR","12-106-02",5,86,"M"
"BearMR","12-106-02",2,96,"M"
"BearMR","12-106-02",5,96,"M"
"BearMR","12-106-02",2,98,"M"
"BearMR","12-106-02",5,98,"M"
"BearMR","12-106-02",2,99,"M"
"BearMR","12-106-02",6,99,"M"
"BearMR","12-106-02",2,106,"M"
"BearMR","121-22-04",3,22,"F"
"BearMR","121-22-04",6,23,"F"
"BearMR","121-22-04",4,32,"F"
"BearMR","13-27-05",2,5,"F"
"BearMR","13-27-05",2,9,"F"
"BearMR","13-27-05",3,11,"F"
"BearMR","13-27-05",2,15,"F"
"BearMR","13-27-05",3,15,"F"
"BearMR","13-27-05",2,16,"F"
"BearMR","13-27-05",3,16,"F"
"BearMR","13-27-05",4,16,"F"
"BearMR","13-27-05",3,17,"F"
"BearMR","13-27-05",4,17,"F"
"BearMR","13-27-05",6,17,"F"
"BearMR","13-27-05",3,18,"F"
"BearMR","13-27-05",4,18,"F"
"BearMR","13-27-05",1,27,"F"
"BearMR","13-27-05",3,27,"F"
"BearMR","13-27-05",6,27,"F"
"BearMR","13-27-05",3,28,"F"
"BearMR","13-27-05",5,28,"F"
"BearMR","13-27-05",4,38,"F"
"BearMR","13-27-05",5,39,"F"
"BearMR","13-27-05",6,39,"F"
"BearMR","13-27-05",5,49,"F"
"BearMR","13-27-05",6,50,"F"
"BearMR","13-27-05",4,86,"F"
"BearMR","13-27-05",6,86,"F"
"BearMR","131-103-04",5,92,"M"
"BearMR","131-103-04",3,103,"M"
"BearMR","133-116-01",4,102,"M"
"BearMR","133-116-01",4,106,"M"
"BearMR","133-116-01",3,116,"M"
"BearMR","17-2-02",1,8,"M"
"BearMR","17-2-02",5,21,"M"
"BearMR","17-2-02",4,22,"M"
"BearMR","17-2-02",5,22,"M"
"BearMR","17-2-02",6,42,"M"
"BearMR","171-105-09",4,105,"M"
"BearMR","171-105-09",5,105,"M"
"BearMR","171-105-09",5,114,"M"
"BearMR","175-20-02",4,29,"M"
"BearMR","19-50-05",3,50,"F"
"BearMR","19-50-05",5,50,"F"
"BearMR","19-50-05",6,61,"F"
"BearMR","19-50-05",6,73,"F"
"BearMR","2213",3,14,"F"
"BearMR","2213",4,14,"F"
"BearMR","2213",6,15,"F"
"BearMR","2213",3,25,"F"
"BearMR","2213",6,26,"F"
"BearMR","2213",4,33,"F"
"BearMR","2213",4,34,"F"
"BearMR","2213",6,34,"F"
"BearMR","2213",2,35,"F"
"BearMR","2213",5,35,"F"
"BearMR","2213",6,36,"F"
"BearMR","2213",6,45,"F"
"BearMR","2213",1,71,"F"
"BearMR","2213",4,71,"F"
"BearMR","2213",5,71,"F"
"BearMR","2213",6,71,"F"
"BearMR","23-100-05",1,100,"M"
"BearMR","23-100-05",2,100,"M"
"BearMR","235-77-01",4,77,"F"
"BearMR","24-66-03",3,42,"M"
"BearMR","24-66-03",5,53,"M"
"BearMR","24-66-03",4,55,"M"
"BearMR","24-66-03",6,56,"M"
"BearMR","25-55-01",1,22,"M"
"BearMR","25-55-01",5,23,"M"
"BearMR","25-55-01",2,41,"M"
"BearMR","25-55-01",5,41,"M"
"BearMR","25-55-01",5,56,"M"
"BearMR","25-55-01",4,66,"M"
"BearMR","25-55-01",1,67,"M"
"BearMR","25-55-01",2,67,"M"
"BearMR","25-55-01",4,67,"M"
"BearMR","25-55-01",2,77,"M"
"BearMR","25-55-01",5,77,"M"
"BearMR","25-55-01",5,78,"M"
"BearMR","25-55-01",2,88,"M"
"BearMR","25-55-01",1,89,"M"
"BearMR","25-55-01",2,89,"M"
"BearMR","25-55-01",3,89,"M"
"BearMR","25-55-01",4,89,"M"
"BearMR","25-55-01",2,90,"M"
